In Point;Out Point;Length;Earliest Arrival;In Time;Out Time; Out Time Tail;Time spend;Speed
WER_0;WER_7;19.812;1.42;1.42;2.7408;3.78842;1.3208;15
EWR_0;EWR_7;19.812;2.3;2.3;3.6208;4.66842;1.3208;15
WEL_0;WEL_7;19.812;2.54;5.30964;6.63044;7.67806;1.3208;15
NSL_0;NSL_7;19.812;2.52;3.95722;5.27802;6.32564;1.3208;15
WSR_0;WSR_1;4.78779;2.93;8.76813;9.08732;11.5442;0.319186;15
WEL_0;WEL_7;19.812;2.89;6.35726;7.67806;8.72568;1.3208;15
WSR_0;WSR_1;4.78779;2.76;6.31125;6.63044;9.08732;0.319186;15
WEL_0;WEL_7;19.812;3.51;8.76813;10.0889;11.1365;1.3208;15
NSR_0;NSR_7;19.812;4.02;8.76813;11.5442;12.9591;2.77606;7.13673
EWL_0;EWL_7;19.812;4.86;14.7559;16.0767;17.1244;1.3208;15
WEL_0;WEL_7;19.812;4.16;11.6882;13.009;14.0566;1.3208;15
NEL_0;NEL_7;19.1512;4.3;11.6882;14.0566;16.7409;2.36842;8.08605
EWL_0;EWL_7;19.812;7.44;16.8512;18.172;19.2196;1.3208;15
EWL_0;EWL_7;19.812;7.36;15.8035;17.1244;18.172;1.3208;15
WER_0;WER_7;19.812;8.52;17.9845;20.6288;22.0105;2.64431;7.49231
NEL_0;NEL_7;19.1512;8.26;17.9845;19.2613;21.3715;1.27674;15
SNL_0;SNL_7;19.812;8.83;20.7902;22.111;23.1587;1.3208;15
SER_0;SER_1;4.78779;8.08;17.8528;18.172;20.6288;0.319186;15
WSR_0;WSR_1;4.78779;9.05;21.7919;22.111;24.5679;0.319186;15
EWL_0;EWL_7;19.812;10.98;25.2963;26.6171;27.6648;1.3208;15
WEL_0;WEL_7;19.812;10.81;25.2963;26.6171;27.6648;1.3208;15
WEL_0;WEL_7;19.812;10.18;21.7919;23.1127;24.1603;1.3208;15
WEL_0;WEL_7;19.812;10.68;24.2487;25.5695;26.6171;1.3208;15
EWR_0;EWR_7;19.812;10.7;24.2487;25.5695;26.6171;1.3208;15
WSR_0;WSR_1;4.78779;10.36;24.2487;24.5679;27.0248;0.319186;15
NSR_0;NSR_7;19.812;11.07;26.9536;28.2744;29.322;1.3208;15
SNL_0;SNL_7;19.812;11.95;29.0221;30.3429;31.3905;1.3208;15
ESL_0;ESL_7;19.1512;11.63;26.9976;28.2744;30.3846;1.27674;15
SNL_0;SNL_7;19.812;12.76;31.3026;32.6234;33.671;1.3208;15
WER_0;WER_7;19.812;12.49;29.6454;30.9662;32.0138;1.3208;15
