In Point;Out Point;Length;Earliest Arrival;In Time;Out Time; Out Time Tail;Time spend;Speed
WER_0;WER_7;19.812;1.42;1.42;2.7408;3.78842;1.3208;15
EWR_0;EWR_7;19.812;2.3;6.20789;7.52869;8.57631;1.3208;15
WEL_0;WEL_7;19.812;2.54;2.54;3.8608;4.90842;1.3208;15
NSL_0;NSL_7;19.812;2.52;3.14589;6.39158;7.92499;3.2457;6.10408
WSR_0;WSR_1;4.78779;2.93;6.26449;6.58368;9.04056;0.319186;15
WEL_0;WEL_7;19.812;2.89;3.58762;4.90842;5.95604;1.3208;15
WSR_0;WSR_1;4.78779;2.76;2.76;3.07919;5.53606;0.319186;15
WEL_0;WEL_7;19.812;3.51;6.74544;8.06624;9.11386;1.3208;15
NSR_0;NSR_7;19.812;4.02;4.21526;5.53606;6.58368;1.3208;15
EWL_0;EWL_7;19.812;4.86;6.70376;8.02456;9.07218;1.3208;15
WEL_0;WEL_7;19.812;4.16;7.79306;9.11386;10.1615;1.3208;15
NEL_0;NEL_7;19.1512;4.3;4.67929;5.95604;8.06624;1.27674;15
EWL_0;EWL_7;19.812;7.44;10.4979;11.8187;12.8663;1.3208;15
EWL_0;EWL_7;19.812;7.36;7.75138;9.07218;10.1198;1.3208;15
WER_0;WER_7;19.812;8.52;8.72137;11.4431;12.8443;2.72176;7.27911
NEL_0;NEL_7;19.1512;8.26;17.3916;18.6683;20.7785;1.27674;15
SNL_0;SNL_7;19.812;8.83;9.14548;10.4663;11.5139;1.3208;15
SER_0;SER_1;4.78779;8.08;8.08;8.39919;10.8561;0.319186;15
WSR_0;WSR_1;4.78779;9.05;10.1226;10.4417;12.8986;0.319186;15
EWL_0;EWL_7;19.812;10.98;11.5455;12.8663;13.9139;1.3208;15
WEL_0;WEL_7;19.812;10.81;14.3705;15.6913;16.7389;1.3208;15
WEL_0;WEL_7;19.812;10.18;10.18;11.5008;12.5484;1.3208;15
WEL_0;WEL_7;19.812;10.68;11.2276;12.5484;13.596;1.3208;15
EWR_0;EWR_7;19.812;10.7;10.8027;12.1235;13.1711;1.3208;15
WSR_0;WSR_1;4.78779;10.36;12.5794;12.8986;15.3555;0.319186;15
NSR_0;NSR_7;19.812;11.07;15.1695;16.4903;17.5379;1.3208;15
SNL_0;SNL_7;19.812;11.95;12.58;13.9008;14.9485;1.3208;15
ESL_0;ESL_7;19.1512;11.63;15.5464;16.8231;18.9333;1.27674;15
SNL_0;SNL_7;19.812;12.76;13.6277;14.9485;15.9961;1.3208;15
WER_0;WER_7;19.812;12.49;15.0363;16.3571;17.4047;1.3208;15
