In Point;Out Point;Length;Earliest Arrival;In Time;Out Time Head; Out Time Tail;Time spend;Speed;Importance
NSR_0;NSR_7;19.812;0.17;0.17;1.4908;2.53842;1.3208;15;1
SNR_0;SNR_7;19.812;0.59;0.59;1.9108;5.05366;1.3208;15;2
NEL_0;NEL_7;19.1512;1.21;3.1953;4.47205;6.58225;1.27674;15;1
NSL_0;NSL_7;19.812;2.2;5.30551;6.62631;7.67393;1.3208;15;1
WER_0;WER_7;19.812;4.96;10.2273;11.5481;12.5957;1.3208;15;1
WSR_0;WSR_1;4.78779;4.08;4.08;4.39919;6.85606;0.319186;15;1
SNR_0;SNR_7;19.812;5.92;5.92;7.2408;8.28842;1.3208;15;1
NSR_0;NSR_7;19.812;6.17;6.17;7.4908;8.53842;1.3208;15;1
NSL_0;NSL_7;19.812;6.57;6.57;7.8908;8.93842;1.3208;15;1
SER_0;SER_1;4.78779;6.46;6.96762;7.28681;9.74368;0.319186;15;1
SNL_0;SNL_7;19.812;6.53;6.53;7.8508;8.89842;1.3208;15;1
NSR_0;NSR_7;19.812;7.85;8.26524;9.58604;10.6337;1.3208;15;1
WEL_0;WEL_7;19.812;7.3;9.92246;11.2433;12.2909;1.3208;15;1
WER_0;WER_7;19.812;7.98;12.852;14.1728;15.2204;1.3208;15;1
NSR_0;NSR_7;19.812;7.16;7.21762;8.53842;9.58604;1.3208;15;1
SNL_0;SNL_7;19.812;8.15;8.15;9.4708;10.5184;1.3208;15;1
NSL_0;NSL_7;19.812;9.29;10.6653;11.9861;13.0337;1.3208;15;1
NSR_0;NSR_7;19.812;10.89;10.89;12.2108;13.2584;1.3208;15;1
EWL_0;EWL_7;19.812;12.31;12.31;13.6308;14.6784;1.3208;15;1
NWR_0;NWR_1;4.78779;12.84;12.84;13.1592;15.6161;0.319186;15;1
NSL_0;NSL_7;19.812;13.33;14.3377;15.6585;16.7061;1.3208;15;1
NSR_0;NSR_7;19.812;13.52;15.2969;16.6177;19.7605;1.3208;15;2
WER_0;WER_7;19.812;13.68;13.8996;15.2204;16.2681;1.3208;15;1
NSR_0;NSR_7;19.812;14.58;18.4397;19.7605;20.8082;1.3208;15;1
NSR_0;NSR_7;19.812;14.65;19.4874;20.8082;21.8558;1.3208;15;1
EWR_0;EWR_7;19.812;14.62;22.4032;23.724;24.7716;1.3208;15;1
NSR_0;NSR_7;19.812;15.68;20.535;21.8558;22.9034;1.3208;15;1
NSL_0;NSL_7;19.812;15.01;15.3853;16.7061;17.7537;1.3208;15;1
SNL_0;SNL_7;19.812;15.01;15.5569;16.8777;17.9253;1.3208;15;1
NSL_0;NSL_7;19.812;15.4;16.4329;17.7537;18.8013;1.3208;15;1
NSL_0;NSL_7;19.812;15.52;17.4805;18.8013;19.8489;1.3208;15;1
WER_0;WER_7;19.812;16.25;24.3087;25.6295;26.6771;1.3208;15;1
SWL_0;SWL_7;19.1512;17.9;22.7801;24.0568;26.167;1.27674;15;1
WER_0;WER_7;19.812;17.67;25.3563;26.6771;27.7247;1.3208;15;1
WSR_0;WSR_1;4.78779;18.8;30.5945;30.9137;33.3705;0.319186;15;1
WSR_0;WSR_1;4.78779;20.01;33.0513;33.3705;35.8274;0.319186;15;1
EWR_0;EWR_7;19.812;21.11;23.4508;24.7716;25.8193;1.3208;15;1
NSR_0;NSR_7;19.812;22.27;22.27;23.5908;24.6384;1.3208;15;1
WER_0;WER_7;19.812;22.74;35.5082;36.829;37.8766;1.3208;15;1
EWR_0;EWR_7;19.812;26.6;28.6785;29.9993;31.0469;1.3208;15;1
NSR_0;NSR_7;19.812;26.45;26.45;27.7708;30.9137;1.3208;15;2
NEL_0;NEL_7;19.1512;26.65;26.65;27.9267;30.037;1.27674;15;1
EWR_0;EWR_7;19.812;27.5;29.7261;31.0469;32.0945;1.3208;15;1
WSR_0;WSR_1;4.78779;28.33;36.5558;36.875;39.3319;0.319186;15;1
EWR_0;EWR_7;19.812;29.88;33.2121;34.5329;35.5805;1.3208;15;1
EWR_0;EWR_7;19.812;29.03;30.7737;32.0945;33.1421;1.3208;15;1
NSL_0;NSL_7;19.812;29.03;32.4309;33.7517;34.7993;1.3208;15;1
WEL_0;WEL_7;19.812;29.09;30.2025;31.5233;32.5709;1.3208;15;1
WER_0;WER_7;19.812;30.43;39.0127;40.3335;41.3811;1.3208;15;1
SNL_0;SNL_7;19.812;30.54;31.5549;32.8757;33.9233;1.3208;15;1
