In Point;Out Point;Length;Earliest Arrival;In Time;Out Time Head; Out Time Tail;Time spend;Speed
EWL_0;EWL_7;31.8;0.86;5.7;7.82;9.15333;2.12;15
NSL_0;NSL_7;31.8;0.2;0.2;2.32;3.65333;2.12;15
WEL_0;WEL_7;31.8;0.04;3.30667;5.42667;6.76;2.12;15
EWL_0;EWL_7;31.8;0.61;3.03333;5.15333;6.48667;2.12;15
WNL_0;WNL_7;30.1593;0.72;8.4265;10.4371;13.1114;2.01062;15
WNL_0;WNL_7;30.1593;0.97;11.1008;13.1114;15.7856;2.01062;15
SNR_0;SNR_7;31.8;0.94;0.94;3.06;4.39333;2.12;15
EWL_0;EWL_7;31.8;0.85;4.36667;6.48667;7.82;2.12;15
NSR_0;NSR_7;31.8;0.67;0.67;2.79;4.12333;2.12;15
EWR_0;EWR_7;31.8;0.09;3.23333;5.35333;6.68667;2.12;15
NSL_0;NSL_7;31.8;0.46;1.53333;3.65333;4.98667;2.12;15
EWR_0;EWR_7;31.8;1.5;4.56667;6.68667;8.02;2.12;15
WER_0;WER_7;31.8;1.05;3.50667;5.62667;6.96;2.12;15
SNR_0;SNR_7;31.8;1.87;8.34667;10.4667;11.8;2.12;15
EWL_0;EWL_7;31.8;1.75;7.03333;9.15333;10.4867;2.12;15
SNL_0;SNL_7;31.8;1.26;1.26;3.38;4.71333;2.12;15
WER_0;WER_7;31.8;1.49;4.84;6.96;8.29333;2.12;15
WER_0;WER_7;31.8;1.8;6.17333;8.29333;9.62667;2.12;15
