In Point;Out Point;Length;Earliest Arrival;In Time;Out Time Head; Out Time Tail;Time spend;Speed
EWR_0;EWR_7;19.812;2.85;4.66027;5.98107;7.02869;1.3208;15
NSR_0;NSR_7;19.812;2.63;2.63;3.9508;4.99842;1.3208;15
WEL_0;WEL_7;19.812;2.04;2.04;3.3608;4.40842;1.3208;15
NEL_0;NEL_7;19.1512;2.71;3.13168;4.40842;6.51863;1.27674;15
NSL_0;NSL_7;19.812;3.14;6.31749;7.63829;8.68591;1.3208;15
WER_0;WER_7;19.812;3.49;4.59202;5.91282;6.96044;1.3208;15
NWR_0;NWR_1;4.78779;4.72;6.7095;7.02869;9.48557;0.319186;15
NSL_0;NSL_7;19.812;4.88;7.36511;8.68591;9.73353;1.3208;15
ENR_0;ENR_1;4.78779;4.15;5.70789;6.02707;8.48395;0.319186;15
WSR_0;WSR_1;4.78779;4.1;5.63964;5.95882;8.4157;0.319186;15
EWL_0;EWL_7;19.812;5.16;8.10793;9.42873;10.4763;1.3208;15
EWR_0;EWR_7;19.812;5.63;8.16476;9.48557;10.5332;1.3208;15
EWL_0;EWL_7;19.812;5.45;9.15555;10.4763;11.524;1.3208;15
WEL_0;WEL_7;19.812;7.11;8.71753;10.0383;11.0859;1.3208;15
SNL_0;SNL_7;19.812;7.52;10.0699;11.3907;12.4384;1.3208;15
ENR_0;ENR_1;4.78779;7.36;9.21238;9.53157;11.9884;0.319186;15
WSR_0;WSR_1;4.78779;8.38;8.38;8.69919;11.1561;0.319186;15
SNL_0;SNL_7;19.812;10.27;11.1176;12.4384;13.486;1.3208;15
NSR_0;NSR_7;19.812;12.5;12.5;13.8208;14.8684;1.3208;15
NSL_0;NSL_7;19.812;13.87;13.87;15.1908;16.2384;1.3208;15
SWL_0;SWL_7;19.1512;15.68;16.4734;17.7501;19.8603;1.27674;15
WEL_0;WEL_7;19.812;15.34;15.34;16.6608;17.7084;1.3208;15
NSL_0;NSL_7;19.812;16.11;18.6253;19.9461;20.9937;1.3208;15
SNL_0;SNL_7;19.812;17.97;18.5836;19.9044;20.952;1.3208;15
NSR_0;NSR_7;19.812;17.18;19.1211;20.4419;21.4895;1.3208;15
SNR_0;SNR_7;19.812;17.05;17.05;18.3708;19.4184;1.3208;15
NSL_0;NSL_7;19.812;18.14;19.6729;20.9937;22.0413;1.3208;15
ENR_0;ENR_1;4.78779;19.32;21.2884;21.6076;24.0645;0.319186;15
EWR_0;EWR_7;19.812;19.29;20.2408;21.5616;22.6092;1.3208;15
NSL_0;NSL_7;19.812;20.39;21.898;23.2188;24.2664;1.3208;15
