In Point;Out Point;Length;Earliest Arrival;In Time;Out Time Head; Out Time Tail;Time spend;Speed;Importance
WEL_0;WEL_7;14.6304;0.27;0.27;1.24536;2.29298;0.97536;15;1
WER_0;WER_7;14.6304;0.81;0.81;1.78536;2.83298;0.975361;15;1
EWL_0;EWL_7;14.6304;1.6;1.6;2.57536;3.62298;0.97536;15;1
SNR_0;SNR_7;14.6304;2.04;2.58914;3.5645;4.61212;0.975361;15;1
WEL_0;WEL_7;14.6304;3.94;4.70146;5.67682;6.72444;0.97536;15;1
WER_0;WER_7;14.6304;3.74;4.9453;5.92066;6.96828;0.975361;15;1
NSL_0;NSL_7;14.6304;3.41;3.41;4.38536;5.43298;0.97536;15;1
NSL_0;NSL_7;14.6304;4.09;6.55286;7.52822;8.57584;0.97536;15;1
WER_0;WER_7;14.6304;4.28;5.99292;6.96828;8.0159;0.975361;15;1
NSR_0;NSR_7;14.6304;5.79;6.30902;7.28438;8.332;0.975361;15;1
SNL_0;SNL_7;14.6304;6.57;7.52822;8.50358;9.5512;0.97536;15;1
SNL_0;SNL_7;14.6304;7.89;8.57584;9.5512;10.5988;0.97536;15;1
EWL_0;EWL_7;14.6304;9.88;9.88;10.8554;11.903;0.97536;15;1
WER_0;WER_7;14.6304;9.8;11.5799;12.5553;13.6029;0.975361;15;1
ENR_0;ENR_1;2.87267;9.61;9.61;9.80151;12.2584;0.191511;15;1
WSR_0;WSR_1;2.87267;9.04;9.04;9.23151;11.6884;0.191511;15;1
WER_0;WER_7;14.6304;10.3;12.6276;13.6029;14.6505;0.975361;15;1
SNR_0;SNR_7;14.6304;11.05;11.247;12.2584;13.3183;1.01134;14.4664;1
SNL_0;SNL_7;14.6304;11.02;11.02;11.9954;13.043;0.97536;15;1
SNR_0;SNR_7;14.6304;12.24;14.4067;15.3821;16.4297;0.975361;15;2
SNL_0;SNL_7;14.6304;12.78;14.1629;15.1382;16.1858;0.97536;15;1
WER_0;WER_7;14.6304;13.58;14.7228;15.6982;16.7458;0.975361;15;2
SNL_0;SNL_7;14.6304;15.85;19.401;20.3763;21.4239;0.97536;15;1
WER_0;WER_7;14.6304;15.3;15.7704;16.7458;17.7934;0.975361;15;2
SNL_0;SNL_7;14.6304;15.1;18.3533;19.3287;20.3763;0.97536;15;1
WER_0;WER_7;14.6304;15.94;16.818;17.7934;18.841;0.975361;15;1
NSR_0;NSR_7;14.6304;17.39;17.39;18.3654;19.413;0.975361;15;1
SWL_0;SWL_7;14.3634;19.42;20.4486;21.4061;23.5163;0.957558;15;1
NSL_0;NSL_7;14.6304;20.65;23.2672;24.2425;25.2901;0.97536;15;1
WEL_0;WEL_7;14.6304;20.91;22.4634;23.4387;24.4864;0.97536;15;1
EWR_0;EWR_7;14.6304;21.39;21.39;22.3654;23.413;0.975361;15;1
WSR_0;WSR_1;2.87267;21.77;21.77;21.9615;24.4184;0.191511;15;1
NSR_0;NSR_7;14.6304;24.26;25.4061;26.3815;27.4291;0.975361;15;1
WEL_0;WEL_7;14.6304;24.28;24.5586;25.534;26.5816;0.97536;15;1
WER_0;WER_7;14.6304;25.09;25.09;26.0654;27.113;0.975361;15;1
SWL_0;SWL_7;14.3634;26.06;27.1209;28.0784;30.1886;0.957558;15;1
NSL_0;NSL_7;14.6304;26.05;26.05;27.0254;28.073;0.97536;15;1
WEL_0;WEL_7;14.6304;26.4;29.1357;30.1111;31.1587;0.97536;15;1
NSR_0;NSR_7;14.6304;26.53;26.53;27.5054;28.553;0.975361;15;1
EWL_0;EWL_7;14.6304;27.13;29.6614;30.6368;31.6844;0.97536;15;2
WER_0;WER_7;14.6304;27.62;28.7566;29.7319;30.7795;0.975361;15;1
ESL_0;ESL_7;14.3634;27.39;33.98;34.9376;37.0478;0.957558;15;1
SWL_0;SWL_7;14.3634;27.5;30.7268;31.6844;33.7946;0.957558;15;1
EWR_0;EWR_7;14.6304;27.81;27.81;28.7854;29.833;0.975361;15;2
SNR_0;SNR_7;14.6304;27.36;28.1261;29.1015;30.1491;0.975361;15;1
SNR_0;SNR_7;14.6304;27.88;30.8761;31.8515;32.8991;0.975361;15;1
SNL_0;SNL_7;14.6304;27.94;32.837;33.8124;34.86;0.97536;15;1
EWL_0;EWL_7;14.6304;28.86;36.0903;37.0656;38.1132;0.97536;15;1
NSL_0;NSL_7;14.6304;28.95;32.9146;33.89;34.9376;0.97536;15;1
EWR_0;EWR_7;14.6304;30.56;30.56;31.5354;32.583;0.975361;15;1
