In Point;Out Point;Length;Earliest Arrival;In Time;Out Time; Out Time Tail;Time spend;Speed
WER_0;WER_7;19.812;0.06;0.06;1.3808;2.71413;1.3208;15
SNR_0;SNR_7;19.812;0.84;4.3648;5.6856;7.01893;1.3208;15
SNL_0;SNL_7;19.812;0.46;2.00293;3.32373;4.65707;1.3208;15
EWL_0;EWL_7;19.812;0.82;3.64107;4.96187;6.2952;1.3208;15
WEL_0;WEL_7;19.812;1.39;6.30773;7.62854;8.96187;1.3208;15
WSR_0;WSR_1;4.78779;1.12;6.30773;7.62854;13.2086;1.3208;3.62491
EWL_0;EWL_7;19.812;1.11;6.30773;7.62854;8.96187;1.3208;15
NWR_0;NWR_1;4.78779;2.5;7.30935;7.62854;10.7555;0.319186;15
SER_0;SER_1;4.78779;3.1;7.30935;7.62854;10.7555;0.319186;15
NSL_0;NSL_7;19.812;3.46;10.4363;11.7571;13.0904;1.3208;15
SER_0;SER_1;4.78779;3.16;10.4363;10.7555;13.8824;0.319186;15
SNL_0;SNL_7;19.812;4.46;11.7955;13.2206;14.5802;1.42509;13.9023
EWR_0;EWR_7;19.812;4.31;11.16;12.4808;13.8141;1.3208;15
NSR_0;NSR_7;19.812;6.57;13.4077;14.7285;16.0619;1.3208;15
WER_0;WER_7;19.812;6.42;12.5616;13.8824;15.2157;1.3208;15
SNL_0;SNL_7;19.812;7.44;14.5045;15.8253;17.1587;1.3208;15
WSR_0;WSR_1;4.78779;7.48;15.7427;16.0619;19.1888;0.319186;15
WNL_0;WNL_7;19.1512;9.56;15.8819;17.1587;19.8444;1.27674;15
WER_0;WER_7;19.812;11.83;21.9966;23.3174;24.6507;1.3208;15
WSR_0;WSR_1;4.78779;11.18;18.8696;19.1888;22.3157;0.319186;15
SER_0;SER_1;4.78779;12.5;28.9602;29.2793;32.4063;0.319186;15
EWR_0;EWR_7;19.812;12.4;26.0156;27.3364;28.6697;1.3208;15
WER_0;WER_7;19.812;12.35;26.0156;27.3364;28.6697;1.3208;15
SNL_0;SNL_7;19.812;12.45;27.9585;29.2793;30.6127;1.3208;15
SWL_0;SWL_7;19.1512;12.02;23.9115;25.1882;27.874;1.27674;15
WER_0;WER_7;19.812;13.33;33.7873;35.1081;36.4415;1.3208;15
NSL_0;NSL_7;19.812;13.27;31.5396;32.8604;34.1937;1.3208;15
EWL_0;EWL_7;19.812;13.03;29.5967;30.9175;32.2508;1.3208;15
SNR_0;SNR_7;19.812;13.28;32.0871;33.4079;34.7412;1.3208;15
WEL_0;WEL_7;19.812;13.8;36.7588;38.0796;39.4129;1.3208;15
WEL_0;WEL_7;19.812;13.42;33.7873;35.1081;36.4415;1.3208;15
WER_0;WER_7;19.812;13.66;36.7588;38.0796;39.4129;1.3208;15
NSL_0;NSL_7;19.812;13.65;34.8159;36.1367;37.47;1.3208;15
NSR_0;NSR_7;19.812;13.16;31.5396;32.8604;34.1937;1.3208;15
WSR_0;WSR_1;4.78779;14.13;38.0921;38.4113;41.5383;0.319186;15
SNL_0;SNL_7;19.812;14.75;38.7017;40.0225;41.3559;1.3208;15
WER_0;WER_7;19.812;15.11;41.2191;42.5399;43.8732;1.3208;15
WNL_0;WNL_7;19.1512;15.84;44.5394;45.8161;48.5019;1.27674;15
NSL_0;NSL_7;19.812;15.2;41.9428;43.2636;44.5969;1.3208;15
SNL_0;SNL_7;19.812;15.8;43.162;44.4828;45.8161;1.3208;15
