In Point;Out Point;Length;Earliest Arrival;In Time;Out Time Head; Out Time Tail;Time spend;Speed
WER_0;WER_7;19.812;0.06;0.06;1.3808;2.71413;1.3208;15
SNR_0;SNR_7;19.812;0.84;2.30773;3.62853;4.96187;1.3208;15
SNL_0;SNL_7;19.812;0.46;2.00293;3.32373;4.65707;1.3208;15
EWL_0;EWL_7;19.812;0.82;0.82;2.1408;3.47413;1.3208;15
WEL_0;WEL_7;19.812;1.39;3.03147;4.35227;5.6856;1.3208;15
WSR_0;WSR_1;4.78779;1.12;1.39333;1.71252;4.41029;0.319186;15
EWL_0;EWL_7;19.812;1.11;4.25067;5.57147;6.9048;1.3208;15
NWR_0;NWR_1;4.78779;2.5;2.5;2.81919;5.51695;0.319186;15
SER_0;SER_1;4.78779;3.1;3.64107;3.96025;6.65802;0.319186;15
NSL_0;NSL_7;19.812;3.46;5.8888;7.2096;8.54294;1.3208;15
SER_0;SER_1;4.78779;3.16;6.33883;6.65802;9.35579;0.319186;15
SNL_0;SNL_7;19.812;4.46;7.33627;8.65707;9.9904;1.3208;15
EWR_0;EWR_7;19.812;4.31;6.61253;7.93334;9.26667;1.3208;15
NSR_0;NSR_7;19.812;6.57;8.86027;10.1811;11.5144;1.3208;15
WER_0;WER_7;19.812;6.42;8.06;9.3808;10.7141;1.3208;15
SNL_0;SNL_7;19.812;7.44;10.0029;11.3237;12.6571;1.3208;15
WSR_0;WSR_1;4.78779;7.48;11.1952;11.5144;14.2122;0.319186;15
WNL_0;WNL_7;19.1512;9.56;11.3803;12.6571;15.3313;1.27674;15
WER_0;WER_7;19.812;11.83;16.5907;17.9115;19.2449;1.3208;15
WSR_0;WSR_1;4.78779;11.18;13.893;14.2122;16.9099;0.319186;15
SER_0;SER_1;4.78779;12.5;12.5;12.8192;15.517;0.319186;15
EWR_0;EWR_7;19.812;12.4;14.5921;15.9129;17.2463;1.3208;15
WER_0;WER_7;19.812;12.35;17.9241;19.2449;20.5782;1.3208;15
SNL_0;SNL_7;19.812;12.45;19.867;21.1878;22.5212;1.3208;15
SWL_0;SWL_7;19.1512;12.02;13.7896;15.0663;17.7406;1.27674;15
WER_0;WER_7;19.812;13.33;20.6104;21.9312;23.2646;1.3208;15
NSL_0;NSL_7;19.812;13.27;18.6478;19.9686;21.3019;1.3208;15
EWL_0;EWL_7;19.812;13.03;16.4198;17.7406;19.0739;1.3208;15
SNR_0;SNR_7;19.812;13.28;20.1718;21.4926;22.826;1.3208;15
WEL_0;WEL_7;19.812;13.8;22.9723;24.2931;25.6264;1.3208;15
WEL_0;WEL_7;19.812;13.42;16.3781;17.6989;19.0322;1.3208;15
WER_0;WER_7;19.812;13.66;23.2771;24.5979;25.9312;1.3208;15
NSL_0;NSL_7;19.812;13.65;21.3342;22.655;23.9883;1.3208;15
NSR_0;NSR_7;19.812;13.16;18.3627;19.6835;21.0168;1.3208;15
WSR_0;WSR_1;4.78779;14.13;24.6104;24.9296;27.6274;0.319186;15
SNL_0;SNL_7;19.812;14.75;25.22;26.5408;27.8742;1.3208;15
WER_0;WER_7;19.812;15.11;27.3082;28.629;29.9623;1.3208;15
WNL_0;WNL_7;19.1512;15.84;27.9308;29.2075;31.8818;1.27674;15
NSL_0;NSL_7;19.812;15.2;24.0008;25.3216;26.655;1.3208;15
SNL_0;SNL_7;19.812;15.8;26.5534;27.8742;29.2075;1.3208;15
