In Point;Out Point;Length;Earliest Arrival;In Time;Out Time Head; Out Time Tail;Time spend;Speed
WER_0;WER_7;31.8;0.06;8.74333;10.8633;12.1967;2.12;15
SNR_0;SNR_7;31.8;0.84;0.84;2.96;4.29333;2.12;15
SNL_0;SNL_7;31.8;0.46;0.46;2.58;3.91333;2.12;15
EWL_0;EWL_7;31.8;0.82;2.81333;4.93333;6.26667;2.12;15
WEL_0;WEL_7;31.8;1.39;1.53333;3.65333;4.98667;2.12;15
WSR_0;WSR_1;15.0796;1.12;10.0767;11.082;13.7797;1.00531;15
EWL_0;EWL_7;31.8;1.11;4.14667;6.26667;7.6;2.12;15
NWR_0;NWR_1;15.0796;2.5;2.5;3.50531;6.20308;1.00531;15
SER_0;SER_1;15.0796;3.1;3.1;4.10531;6.80308;1.00531;15
NSL_0;NSL_7;31.8;3.46;6.28333;8.40333;9.73667;2.12;15
SER_0;SER_1;15.0796;3.16;5.79777;6.80308;9.50084;1.00531;15
SNL_0;SNL_7;31.8;4.46;5.04;7.16;8.49333;2.12;15
EWR_0;EWR_7;31.8;4.31;4.31;6.43;7.76333;2.12;15
NSR_0;NSR_7;31.8;6.57;6.57;8.69;10.0233;2.12;15
WER_0;WER_7;31.8;6.42;15.6911;17.8111;19.1444;2.12;15
SNL_0;SNL_7;31.8;7.44;7.44;9.56;10.8933;2.12;15
WSR_0;WSR_1;15.0796;7.48;17.0244;18.0297;20.7275;1.00531;15
WNL_0;WNL_7;30.1593;9.56;9.56;11.5706;14.2449;2.01062;15
WER_0;WER_7;31.8;11.83;22.42;24.54;25.8733;2.12;15
WSR_0;WSR_1;15.0796;11.18;19.7222;20.7275;23.4253;1.00531;15
SER_0;SER_1;15.0796;12.5;12.5;13.5053;16.2031;1.00531;15
EWR_0;EWR_7;31.8;12.4;12.5632;14.6832;16.0165;2.12;15
WER_0;WER_7;31.8;12.35;23.7533;25.8733;27.2066;2.12;15
SNL_0;SNL_7;31.8;12.45;17.6644;19.7844;21.1178;2.12;15
SWL_0;SWL_7;30.1593;12.02;12.02;14.0306;16.7049;2.01062;15
WER_0;WER_7;31.8;13.33;25.0866;27.2066;28.54;2.12;15
NSL_0;NSL_7;31.8;13.27;16.7844;18.9044;20.2378;2.12;15
EWL_0;EWL_7;31.8;13.03;14.4361;16.7049;18.0616;2.26873;14.0166
SNR_0;SNR_7;31.8;13.28;15.1978;17.3178;18.6511;2.12;15
WEL_0;WEL_7;31.8;13.8;18.5578;20.6778;22.0111;2.12;15
WEL_0;WEL_7;31.8;13.42;15.8911;18.0111;19.3444;2.12;15
