In Point;Out Point;Length;Earliest Arrival;In Time;Out Time Head; Out Time Tail;Time spend;Speed
WER_0;WER_7;31.8;0.06;1.33333;3.45333;4.78667;2.12;15
SNR_0;SNR_7;31.8;0.84;0.84;2.96;4.29333;2.12;15
SNL_0;SNL_7;31.8;0.46;0.46;2.58;3.91333;2.12;15
EWL_0;EWL_7;31.8;0.82;2.81333;4.93333;6.26667;2.12;15
WEL_0;WEL_7;31.8;1.39;1.53333;3.65333;4.98667;2.12;15
WSR_0;WSR_1;15.0796;1.12;2.66667;3.67198;6.36974;1.00531;15
EWL_0;EWL_7;31.8;1.11;4.14667;6.26667;7.6;2.12;15
NWR_0;NWR_1;15.0796;2.5;2.5;3.50531;6.20308;1.00531;15
SER_0;SER_1;15.0796;3.1;3.78136;4.78667;7.48443;1.00531;15
NSL_0;NSL_7;31.8;3.46;6.28333;8.40333;9.73667;2.12;15
SER_0;SER_1;15.0796;3.16;6.47912;7.48443;10.1822;1.00531;15
SNL_0;SNL_7;31.8;4.46;5.04;7.16;8.49333;2.12;15
EWR_0;EWR_7;31.8;4.31;4.31;6.43;7.76333;2.12;15
NSR_0;NSR_7;31.8;6.57;6.57;8.69;10.0233;2.12;15
WER_0;WER_7;31.8;6.42;8.74333;10.8633;12.1967;2.12;15
SNL_0;SNL_7;31.8;7.44;7.44;9.56;10.8933;2.12;15
WSR_0;WSR_1;15.0796;7.48;10.0767;11.082;13.7797;1.00531;15
WNL_0;WNL_7;30.1593;9.56;9.56;11.5706;14.2449;2.01062;15
WER_0;WER_7;31.8;11.83;13.1433;15.2633;16.5967;2.12;15
WSR_0;WSR_1;15.0796;11.18;19.81;20.8153;23.5131;1.00531;15
SER_0;SER_1;15.0796;12.5;20.9247;21.93;24.6278;1.00531;15
EWR_0;EWR_7;31.8;12.4;14.4233;16.5433;17.8767;2.12;15
WER_0;WER_7;31.8;12.35;14.4767;16.5967;17.93;2.12;15
SNL_0;SNL_7;31.8;12.45;12.45;14.57;15.9033;2.12;15
SWL_0;SWL_7;30.1593;12.02;23.1178;25.1284;27.8026;2.01062;15
WER_0;WER_7;31.8;13.33;15.81;17.93;19.2633;2.12;15
NSL_0;NSL_7;31.8;13.27;16.5033;18.6233;19.9567;2.12;15
EWL_0;EWL_7;31.8;13.03;14.2233;16.3433;17.6767;2.12;15
SNR_0;SNR_7;31.8;13.28;17.9833;20.1033;21.4367;2.12;15
WEL_0;WEL_7;31.8;13.8;14.7533;16.8733;18.2067;2.12;15
WEL_0;WEL_7;31.8;13.42;13.42;15.54;16.8733;2.12;15
WER_0;WER_7;31.8;13.66;18.4767;20.5967;21.93;2.12;15
NSL_0;NSL_7;31.8;13.65;20.5109;22.6309;23.9643;2.12;15
NSR_0;NSR_7;31.8;13.16;17.7967;26.2108;28.5338;8.4141;3.77937
WSR_0;WSR_1;15.0796;14.13;22.5078;23.5131;26.2108;1.00531;15
SNL_0;SNL_7;31.8;14.75;20.4511;22.5711;23.9044;2.12;15
WER_0;WER_7;31.8;15.11;25.3537;27.4737;28.807;2.12;15
WNL_0;WNL_7;30.1593;15.84;17.8862;19.8968;22.5711;2.01062;15
NSL_0;NSL_7;31.8;15.2;26.047;28.167;29.5004;2.12;15
SNL_0;SNL_7;31.8;15.8;21.7844;23.9044;25.2378;2.12;15
