In Point;Out Point;Length;Earliest Arrival;In Time;Out Time Head; Out Time Tail;Time spend;Speed
WER_0;WER_7;31.8;1.06;1.06;4.24;5.74;3.18;10
WEL_0;WEL_7;31.8;2.55;2.55;5.73;7.23;3.18;10
EWR_0;EWR_7;31.8;3.62;3.62;6.8;8.3;3.18;10
EWL_0;EWL_7;31.8;3.38;3.38;6.56;8.06;3.18;10
EWL_0;EWL_7;31.8;4.33;4.88;8.06;9.56;3.18;10
SNR_0;SNR_7;31.8;4.61;5.42;8.6;10.1;3.18;10
NSR_0;NSR_7;31.8;4.65;9.22295;12.403;13.903;3.18;10
EWL_0;EWL_7;31.8;5.54;17.53;20.71;22.21;3.18;10
WEL_0;WEL_7;31.8;5.98;5.98;9.16;10.66;3.18;10
WSR_0;WSR_1;15.0796;5.73;7.86;9.36796;12.403;1.50796;10
NSR_0;NSR_7;31.8;6.44;10.723;13.903;15.403;3.18;10
NSL_0;NSL_7;31.8;6.28;8.32;11.5;13;3.18;10
WER_0;WER_7;31.8;6.57;15.31;18.49;19.99;3.18;10
WER_0;WER_7;31.8;6.36;6.36;9.54;11.04;3.18;10
WEL_0;WEL_7;31.8;6.76;7.48;10.66;12.16;3.18;10
WEL_0;WEL_7;31.8;7.72;15.61;18.79;20.29;3.18;10
ENR_0;ENR_1;15.0796;8.5;8.90204;10.41;13.445;1.50796;10
NSL_0;NSL_7;31.8;8.67;9.82;13;14.5;3.18;10
SNL_0;SNL_7;31.8;8.04;9.64;12.82;14.32;3.18;10
NSL_0;NSL_7;31.8;8.93;11.32;14.5;16;3.18;10
SNL_0;SNL_7;31.8;9.4;11.14;14.32;15.82;3.18;10
NSL_0;NSL_7;31.8;9.3;12.82;16;17.5;3.18;10
NSR_0;NSR_7;31.8;10.09;12.223;15.403;16.903;3.18;10
WER_0;WER_7;31.8;11.93;16.81;19.99;21.49;3.18;10
WNL_0;WNL_7;30.1593;12.94;22.7798;25.7957;28.8042;3.01593;10
EWR_0;EWR_7;31.8;12.08;17.83;21.01;22.51;3.18;10
SNL_0;SNL_7;31.8;12.24;12.64;15.82;17.32;3.18;10
SNR_0;SNR_7;31.8;13.57;13.57;16.75;18.25;3.18;10
NSL_0;NSL_7;31.8;13.07;20.35;23.53;25.03;3.18;10
NSR_0;NSR_7;31.8;13.05;20.59;23.77;25.27;3.18;10
ESL_0;ESL_7;30.1593;13.15;24.7275;27.7434;30.7519;3.01593;10
NSL_0;NSL_7;31.8;13.71;25.1194;30.7519;32.6375;5.63251;5.6458
SNR_0;SNR_7;31.8;14.16;15.07;18.25;19.75;3.18;10
WER_0;WER_7;31.8;14.17;18.31;21.49;22.99;3.18;10
NSR_0;NSR_7;31.8;16.52;25.1308;28.3108;29.8108;3.18;10
SNR_0;SNR_7;31.8;16.07;22.57;25.75;27.25;3.18;10
SNR_0;SNR_7;31.8;17.4;27.0785;30.2585;31.7585;3.18;10
WER_0;WER_7;31.8;19.02;19.81;22.99;24.49;3.18;10
NEL_0;NEL_7;30.1593;20.73;28.0852;31.1011;34.1096;3.01593;10
EWL_0;EWL_7;31.8;20.94;21.19;24.37;25.87;3.18;10
