In Point;Out Point;Length;Earliest Arrival;In Time;Out Time Head; Out Time Tail;Time spend;Speed
WER_0;WER_7;19.812;0.06;1.25893;2.57973;3.91307;1.3208;15
SNR_0;SNR_7;19.812;0.84;0.84;2.1608;3.49413;1.3208;15
SNL_0;SNL_7;19.812;0.46;0.46;1.7808;3.11413;1.3208;15
EWL_0;EWL_7;19.812;0.82;2.78293;4.10373;5.43707;1.3208;15
WEL_0;WEL_7;19.812;1.39;1.56373;2.88453;4.21787;1.3208;15
WSR_0;WSR_1;4.78779;1.12;2.59227;2.91145;5.60922;0.319186;15
EWL_0;EWL_7;19.812;1.11;4.11627;5.43707;6.7704;1.3208;15
NWR_0;NWR_1;4.78779;2.5;2.5;2.81919;5.51695;0.319186;15
SER_0;SER_1;4.78779;3.1;3.59388;3.91307;6.61083;0.319186;15
NSL_0;NSL_7;19.812;3.46;7.14373;8.46453;9.79787;1.3208;15
SER_0;SER_1;4.78779;3.16;8.75495;9.07413;11.7719;0.319186;15
SNL_0;SNL_7;19.812;4.46;5.1448;6.4656;7.79893;1.3208;15
EWR_0;EWR_7;19.812;4.31;4.31;5.6308;6.96413;1.3208;15
NSR_0;NSR_7;19.812;6.57;9.44948;10.7703;12.1036;1.3208;15
WER_0;WER_7;19.812;6.42;6.42;7.7408;9.07413;1.3208;15
SNL_0;SNL_7;19.812;7.44;8.36293;9.68373;11.0171;1.3208;15
WSR_0;WSR_1;4.78779;7.48;7.75333;8.07252;10.7703;0.319186;15
WNL_0;WNL_7;19.1512;9.56;11.3644;12.6412;15.3154;1.27674;15
WER_0;WER_7;19.812;11.83;14.4822;15.803;17.1363;1.3208;15
WSR_0;WSR_1;4.78779;11.18;11.7844;12.1036;14.8014;0.319186;15
SER_0;SER_1;4.78779;12.5;12.5;12.8192;15.517;0.319186;15
