In Point;Out Point;Length;Earliest Arrival;In Time;Out Time Head; Out Time Tail;Time spend;Speed;Importance
EWR_0;EWR_7;19.812;1.42;1.42;2.7408;4.07413;1.3208;15;1
SNR_0;SNR_7;19.812;3.75;13.671;17.8476;19.9017;4.17665;4.74352;1
SER_0;SER_1;4.78779;3.27;3.27;3.58919;12.771;0.319186;15;2
ENR_0;ENR_1;4.78779;3.82;3.82;4.13919;13.321;0.319186;15;2
NSL_0;NSL_7;19.812;4.49;12.1385;13.4593;14.7926;1.3208;15;1
WEL_0;WEL_7;19.812;5.89;5.89;7.2108;8.54413;1.3208;15;1
WEL_0;WEL_7;19.812;6.45;7.22333;8.54413;9.87747;1.3208;15;1
EWL_0;EWL_7;19.812;7.2;7.2;8.5208;9.85413;1.3208;15;1
NSL_0;NSL_7;19.812;7.82;17.6115;18.9323;20.2656;1.3208;15;1
SNR_0;SNR_7;19.812;7.23;17.3235;19.9017;21.5524;2.57818;7.68449;1
EWR_0;EWR_7;19.812;9.76;13.0019;14.3227;15.656;1.3208;15;1
WNL_0;WNL_7;19.1512;9.55;9.55;10.8267;13.501;1.27674;15;1
EWR_0;EWR_7;19.812;11.33;14.3352;15.656;16.9893;1.3208;15;1
SNL_0;SNL_7;19.812;11.44;12.8033;18.3656;20.7694;5.56231;3.56183;1
NSR_0;NSR_7;19.812;12.25;12.25;13.5708;14.9041;1.3208;15;1
SNR_0;SNR_7;19.812;13.43;25.1744;26.4952;27.8285;1.3208;15;1
NEL_0;NEL_7;19.1512;14.01;20.7402;22.017;24.6912;1.27674;15;1
EWR_0;EWR_7;19.812;14.16;15.6685;16.9893;18.3227;1.3208;15;1
SNR_0;SNR_7;19.812;15.89;26.5077;27.8285;29.1619;1.3208;15;1
WER_0;WER_7;19.812;15.25;15.25;16.5708;17.9041;1.3208;15;1
SNL_0;SNL_7;19.812;16.24;19.4486;20.7694;22.1027;1.3208;15;1
NSL_0;NSL_7;19.812;17.7;23.6504;24.9712;26.3045;1.3208;15;1
ESL_0;ESL_7;19.1512;19.03;28.4227;29.6994;32.3737;1.27674;15;1
WER_0;WER_7;19.812;20.26;20.26;21.5808;25.5808;1.3208;15;2
EWL_0;EWL_7;19.812;20.49;37.0704;38.3912;39.7245;1.3208;15;1
EWL_0;EWL_7;19.812;20.47;31.0969;32.4177;33.7511;1.3208;15;1
WER_0;WER_7;19.812;24.43;26.9267;28.2475;29.5808;1.3208;15;1
SER_0;SER_1;4.78779;26.14;29.2616;29.5808;32.2786;0.319186;15;1
SNL_0;SNL_7;19.812;26.03;26.03;27.3508;28.6841;1.3208;15;1
NSR_0;NSR_7;19.812;27.41;27.41;28.7308;30.0641;1.3208;15;1
WER_0;WER_7;19.812;27.13;32.8492;34.17;35.5033;1.3208;15;1
SNL_0;SNL_7;19.812;28.79;32.1255;33.4463;34.7796;1.3208;15;1
EWR_0;EWR_7;19.812;30.51;30.51;31.8308;33.1641;1.3208;15;1
NSL_0;NSL_7;19.812;31.97;33.5729;34.8937;36.2271;1.3208;15;1
NSL_0;NSL_7;19.812;31.98;34.9063;36.2271;37.5604;1.3208;15;1
ENR_0;ENR_1;4.78779;32.96;32.96;33.2792;35.977;0.319186;15;1
NSR_0;NSR_7;19.812;33.68;33.68;35.0008;39.0008;1.3208;15;2
NWR_0;NWR_1;4.78779;34.43;41.7672;42.0864;44.7842;0.319186;15;1
EWR_0;EWR_7;19.812;34.45;36.7656;38.0864;42.0864;1.3208;15;2
SNR_0;SNR_7;19.812;35.55;45.5659;46.8867;48.22;1.3208;15;1
NWR_0;NWR_1;4.78779;35.08;44.465;44.7842;47.4819;0.319186;15;1
WEL_0;WEL_7;19.812;35.43;38.2896;39.6104;43.6104;1.3208;15;2
WEL_0;WEL_7;19.812;37.87;43.6229;44.9437;46.2771;1.3208;15;1
WSR_0;WSR_1;4.78779;37.36;38.6816;39.0008;41.6986;0.319186;15;1
WEL_0;WEL_7;19.812;37.75;42.2896;43.6104;44.9437;1.3208;15;1
