In Point;Out Point;Length;Earliest Arrival;In Time;Out Time Head; Out Time Tail;Time spend;Speed;Importance
EWL_0;EWL_7;19.812;0.77;1.13282;2.45362;3.50124;1.3208;15;1
EWR_0;EWR_7;19.812;0.86;0.86;2.1808;3.22842;1.3208;15;1
WNL_0;WNL_7;19.1512;0.78;2.13875;3.41549;5.5257;1.27674;15;1
NSL_0;NSL_7;19.812;0.39;0.39;1.7108;2.75842;1.3208;15;1
WEL_0;WEL_7;19.812;0.82;4.24896;5.56976;6.61738;1.3208;15;1
WER_0;WER_7;19.812;0.91;2.04722;3.36802;4.41564;1.3208;15;1
WSR_0;WSR_1;4.78779;3.3;3.3;3.61919;6.07606;0.319186;15;1
WER_0;WER_7;19.812;4.16;5.75688;7.07768;8.1253;1.3208;15;1
EWL_0;EWL_7;19.812;5.18;5.18;6.5008;7.54842;1.3208;15;1
WEL_0;WEL_7;19.812;6.88;6.88;8.2008;9.24842;1.3208;15;1
WEL_0;WEL_7;19.812;6.99;7.92762;9.24842;10.296;1.3208;15;1
NSR_0;NSR_7;19.812;7.77;8.97526;10.2961;11.3437;1.3208;15;1
WSR_0;WSR_1;4.78779;7.52;7.52;7.83919;10.2961;0.319186;15;1
NSR_0;NSR_7;19.812;9.05;10.0229;11.3437;12.3913;1.3208;15;1
EWR_0;EWR_7;19.812;10.02;10.1561;11.4769;12.5245;1.3208;15;1
NSR_0;NSR_7;19.812;11.74;12.1181;13.4389;14.4865;1.3208;15;1
SNL_0;SNL_7;19.812;12.82;12.82;14.1408;15.1884;1.3208;15;1
WER_0;WER_7;19.812;13.71;14.0801;15.4009;16.4486;1.3208;15;1
EWR_0;EWR_7;19.812;16.34;16.34;17.6608;18.7084;1.3208;15;1
ENR_0;ENR_1;4.78779;17.17;17.3876;17.7068;20.1637;0.319186;15;2
EWL_0;EWL_7;19.812;18.27;18.27;19.5908;20.6384;1.3208;15;1
NSR_0;NSR_7;19.812;19.61;20.778;22.0988;23.1464;1.3208;15;1
ESL_0;ESL_7;19.1512;19.76;25.3174;26.5941;28.7043;1.27674;15;1
SNR_0;SNR_7;19.812;19.1;19.1;20.4208;21.4684;1.3208;15;1
WEL_0;WEL_7;19.812;20.34;20.34;21.6608;22.7084;1.3208;15;1
NSR_0;NSR_7;19.812;21.81;23.9209;25.2417;26.2893;1.3208;15;1
WER_0;WER_7;19.812;22.13;22.74;24.0608;25.1085;1.3208;15;1
WER_0;WER_7;19.812;22.32;23.7877;25.1085;26.1561;1.3208;15;1
NSL_0;NSL_7;19.812;23.42;24.2257;25.5465;26.5941;1.3208;15;1
WSR_0;WSR_1;4.78779;24.35;25.9701;26.2893;28.7462;0.319186;15;1
SNR_0;SNR_7;19.812;24.59;26.8459;28.1667;29.2144;1.3208;15;1
SNR_0;SNR_7;19.812;25.2;27.8936;29.2144;30.262;1.3208;15;1
WEL_0;WEL_7;19.812;25.47;28.7359;30.0567;31.1043;1.3208;15;1
EWR_0;EWR_7;19.812;25.72;25.72;27.0408;28.0884;1.3208;15;1
NSL_0;NSL_7;19.812;26.56;32.6216;33.9424;34.99;1.3208;15;2
WEL_0;WEL_7;19.812;26.88;31.8788;33.1996;34.2472;1.3208;15;1
NSL_0;NSL_7;19.812;26.53;30.5264;31.8472;32.8948;1.3208;15;1
WEL_0;WEL_7;19.812;26.37;29.7835;31.1043;32.152;1.3208;15;2
NSL_0;NSL_7;19.812;26.37;27.3835;28.7043;29.7519;1.3208;15;1
WER_0;WER_7;19.812;26.72;29.0407;30.3615;31.4091;1.3208;15;1
