In Point;Out Point;Length;Earliest Arrival;In Time;Out Time Head; Out Time Tail;Time spend;Speed;Importance
EWL_0;EWL_7;19.812;0.77;0.77;2.0908;3.13842;1.3208;15;1
EWR_0;EWR_7;19.812;0.86;0.86;2.1808;3.22842;1.3208;15;1
WNL_0;WNL_7;19.1512;0.78;1.77593;3.05268;5.16288;1.27674;15;1
NSL_0;NSL_7;19.812;0.39;3.80039;5.12119;6.16881;1.3208;15;1
WEL_0;WEL_7;19.812;0.82;5.15281;6.47361;7.52123;1.3208;15;1
WER_0;WER_7;19.812;0.91;0.91;2.2308;3.27842;1.3208;15;1
WSR_0;WSR_1;4.78779;3.3;3.3;3.61919;6.07606;0.319186;15;1
WER_0;WER_7;19.812;4.16;5.75688;7.07768;8.1253;1.3208;15;1
EWL_0;EWL_7;19.812;5.18;5.18;6.5008;7.54842;1.3208;15;1
WEL_0;WEL_7;19.812;6.88;6.88;8.2008;9.24842;1.3208;15;1
WEL_0;WEL_7;19.812;6.99;7.92762;9.24842;10.296;1.3208;15;1
NSR_0;NSR_7;19.812;7.77;8.36564;9.68644;10.7341;1.3208;15;1
WSR_0;WSR_1;4.78779;7.52;10.4149;10.7341;13.1909;0.319186;15;1
NSR_0;NSR_7;19.812;9.05;11.8701;13.1909;14.2386;1.3208;15;1
EWR_0;EWR_7;19.812;10.02;12.0034;13.3242;14.3718;1.3208;15;1
NSR_0;NSR_7;19.812;11.74;13.9654;15.2862;16.3338;1.3208;15;1
SNL_0;SNL_7;19.812;12.82;12.82;14.1408;15.1884;1.3208;15;1
WER_0;WER_7;19.812;13.71;13.8322;15.153;16.2006;1.3208;15;1
EWR_0;EWR_7;19.812;16.34;16.34;17.6608;18.7084;1.3208;15;1
ENR_0;ENR_1;4.78779;17.17;17.3876;18.9835;nan;1.59593;3;2
EWL_0;EWL_7;19.812;18.27;18.27;19.5908;20.6384;1.3208;15;1
