In Point;Out Point;Length;Earliest Arrival;In Time;Out Time; Out Time Tail;Time spend;Speed
WER_0;WER_7;19.812;0.06;0.06;1.3808;3.71413;1.3208;15
SNR_0;SNR_7;19.812;0.84;3.30773;4.62853;6.96187;1.3208;15
SNL_0;SNL_7;19.812;0.46;3.00293;4.32373;6.65707;1.3208;15
EWL_0;EWL_7;19.812;0.82;0.82;2.1408;4.47413;1.3208;15
WEL_0;WEL_7;19.812;1.39;6.09813;7.41893;9.75227;1.3208;15
WSR_0;WSR_1;4.78779;1.12;2.39333;2.71252;8.18465;0.319186;15
EWL_0;EWL_7;19.812;1.11;6.25067;7.57147;9.9048;1.3208;15
NWR_0;NWR_1;4.78779;2.5;2.5;2.81919;8.29132;0.319186;15
SER_0;SER_1;4.78779;3.1;5.64107;5.96025;11.4324;0.319186;15
NSL_0;NSL_7;19.812;3.46;3.46;4.7808;7.11413;1.3208;15
SER_0;SER_1;4.78779;3.16;11.1132;11.4324;16.9045;0.319186;15
